Log_ID,Timestamp,Log Level,Username,Category,Description
56,4/5/2024 5:48:38 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successful authentication.
57,4/5/2024 5:49:40 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successfully sent OTP to manager.
58,4/5/2024 5:49:56 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successful authentication.
59,4/5/2024 5:51:05 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successfully sent OTP to manager.
60,4/5/2024 5:51:15 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successful authentication.
61,4/5/2024 5:55:50 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successfully sent OTP to manager.
62,4/5/2024 5:56:00 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successful authentication.
1065,4/5/2024 7:58:08 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successfully sent OTP to manager.
1066,4/5/2024 7:58:41 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successful authentication.
1067,4/5/2024 8:00:45 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successfully sent OTP to manager.
1068,4/5/2024 8:01:00 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successful authentication.
1069,4/5/2024 8:09:30 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successfully sent OTP to manager.
1070,4/5/2024 8:09:44 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successful authentication.
1071,4/5/2024 8:14:10 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successfully sent OTP to manager.
1072,4/5/2024 8:14:23 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successful authentication.
1073,4/5/2024 8:15:27 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successfully sent OTP to manager.
1074,4/5/2024 8:15:51 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successful authentication.
1076,4/5/2024 8:34:14 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successful authentication.
1077,4/5/2024 8:38:50 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successfully sent OTP to manager.
1078,4/5/2024 8:39:05 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successful authentication.
1079,4/5/2024 8:40:15 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successfully sent OTP to manager.
1080,4/5/2024 8:40:33 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successful authentication.
1081,4/5/2024 8:54:20 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successfully sent OTP to manager.
1082,4/5/2024 8:55:54 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successful authentication.
1083,4/5/2024 8:59:39 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successfully sent OTP to manager.
1084,4/5/2024 8:59:52 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successful authentication.
19,4/5/2024 2:57:41 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successfully sent OTP to manager.
20,4/5/2024 2:57:51 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successful authentication.
21,4/5/2024 3:00:43 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successfully sent OTP to manager.
22,4/5/2024 3:00:53 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successful authentication.
23,4/5/2024 3:02:12 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successfully sent OTP to manager.
24,4/5/2024 3:02:28 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successful authentication.
25,4/5/2024 3:04:52 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successfully sent OTP to manager.
26,4/5/2024 3:05:01 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successful authentication.
